iter	Logloss	Accuracy
107	0.4257240706	0.8050314465
108	0.4253614381	0.8062586286
109	0.4249921759	0.8057984353
110	0.4246307034	0.8059518331
111	0.4239655723	0.8062586286
112	0.4234141851	0.8059518331
113	0.42308378	0.8062586286
114	0.4226319187	0.8065654241
115	0.4222051076	0.8067188219
116	0.4218163415	0.8070256174
117	0.4215347022	0.8071790152
118	0.4212021799	0.8073324129
119	0.4209169545	0.8070256174
120	0.420460516	0.8064120264
121	0.4200585556	0.8065654241
122	0.4196991699	0.8067188219
123	0.4193756992	0.8064120264
124	0.4191575143	0.8062586286
125	0.4189077134	0.8065654241
126	0.4185956119	0.8064120264
127	0.4182930864	0.8070256174
128	0.4179907622	0.8068722197
129	0.417809038	0.8071790152
130	0.4174070672	0.8067188219
131	0.4170712486	0.8068722197
132	0.4170142742	0.8065654241
133	0.4166423406	0.8067188219
134	0.4160014602	0.8076392085
135	0.4156893607	0.8076392085
136	0.4153249125	0.8076392085
137	0.4151711257	0.8071790152
138	0.4148747215	0.8071790152
139	0.4145138583	0.8073324129
140	0.4142645857	0.8076392085
141	0.4140181342	0.8076392085
142	0.4137023603	0.8080994017
143	0.4133134896	0.8077926062
144	0.413069813	0.8080994017
145	0.412826144	0.8082527995
146	0.4126253314	0.8082527995
147	0.4124673554	0.8087129928
148	0.4122801668	0.808559595
149	0.4119291008	0.8094799816
150	0.4114946993	0.8093265838
151	0.4111488279	0.8099401749
152	0.4109626259	0.8102469704
153	0.4107604139	0.8108605614
154	0.4104683419	0.8113207547
155	0.4102109858	0.811167357
156	0.4100266054	0.8113207547
157	0.4097126296	0.811167357
158	0.4095070529	0.8110139592
159	0.4093420047	0.8114741525
160	0.4090802697	0.812394539
161	0.4088291174	0.8119343458
162	0.4085283821	0.812394539
163	0.408374204	0.812394539
164	0.4081199333	0.8125479368
165	0.407840659	0.8122411413
166	0.4076076554	0.8120877435
167	0.4073549776	0.812394539
168	0.4072399944	0.8122411413
169	0.4069327777	0.8127013346
170	0.4067071385	0.8130081301
171	0.4064460646	0.8136217211
172	0.4063834183	0.8128547323
173	0.4062633626	0.8134683234
174	0.4061733957	0.8131615278
175	0.4061505584	0.8130081301
176	0.4060820816	0.8131615278
177	0.4058903614	0.8137751189
178	0.405713642	0.8136217211
179	0.4055619274	0.8136217211
180	0.4053101302	0.8134683234
181	0.4051827135	0.8136217211
182	0.4051220754	0.8134683234
183	0.4047737567	0.8142353122
184	0.4045694788	0.8142353122
185	0.4044042952	0.8139285166
186	0.4041002528	0.8139285166
187	0.4039417312	0.8139285166
188	0.4037580265	0.8142353122
189	0.4035700841	0.8142353122
190	0.4034474276	0.8143887099
191	0.4034474276	0.8143887099
192	0.4033293139	0.8142353122
193	0.4031924961	0.8140819144
194	0.4030137226	0.8140819144
195	0.4029297724	0.8139285166
196	0.4026473821	0.8139285166
197	0.4024271364	0.8140819144
198	0.4022304124	0.8142353122
199	0.4019618539	0.8142353122
200	0.4018496564	0.8143887099
201	0.4017527207	0.8142353122
202	0.4016287718	0.8145421077
203	0.4014015563	0.8145421077
204	0.4012446125	0.8145421077
205	0.4010130846	0.8145421077
206	0.400793264	0.8145421077
207	0.4007175601	0.8143887099
208	0.400523399	0.8142353122
209	0.4003410502	0.8143887099
210	0.4000808434	0.8146955054
211	0.400059951	0.8145421077
212	0.3997981935	0.8153090965
213	0.3996449577	0.8154624942
214	0.3995173651	0.815002301
215	0.3993815799	0.815615892
216	0.3991741319	0.8154624942
217	0.3989842126	0.815615892
218	0.3987794292	0.8154624942
219	0.398660346	0.8157692898
220	0.3986603193	0.8157692898
221	0.3985733228	0.8153090965
222	0.3984559426	0.8151556987
223	0.3983326426	0.8154624942
224	0.3981886759	0.815615892
225	0.3980273284	0.815615892
226	0.3980050179	0.815615892
227	0.3979163466	0.815615892
228	0.3977787932	0.815615892
229	0.3976089356	0.8157692898
230	0.3974382422	0.815615892
231	0.3972960417	0.8157692898
232	0.3971921379	0.815615892
233	0.3969747315	0.8153090965
234	0.3968474659	0.8153090965
235	0.3967117575	0.8154624942
236	0.3967028576	0.8154624942
237	0.3966630026	0.8154624942
238	0.3964929429	0.815615892
239	0.3963747097	0.8157692898
240	0.3962372033	0.8157692898
241	0.3960301238	0.8157692898
242	0.3960094713	0.8157692898
243	0.3959408704	0.815615892
244	0.3958458566	0.8159226875
245	0.3956976549	0.8160760853
246	0.3955135958	0.8160760853
247	0.3954579959	0.816229483
248	0.395293366	0.8166896763
249	0.3952212564	0.8166896763
250	0.3950537111	0.816229483
251	0.3947041409	0.8163828808
252	0.3946623487	0.8163828808
253	0.3946616221	0.8163828808
254	0.3946241661	0.8163828808
255	0.3944993511	0.8165362786
256	0.3943432929	0.8174566651
257	0.394282616	0.8176100629
258	0.3942506275	0.8176100629
259	0.394157422	0.8177634607
260	0.3940707195	0.8179168584
261	0.3938594679	0.8182236539
262	0.3937790187	0.8182236539
263	0.393622303	0.8183770517
264	0.3935308994	0.8185304495
265	0.3932809136	0.8182236539
266	0.3931784937	0.8185304495
267	0.3931003024	0.8183770517
268	0.393055419	0.8183770517
269	0.3930546695	0.8183770517
270	0.3929159102	0.8182236539
271	0.3927947975	0.8179168584
272	0.3926991786	0.8182236539
273	0.3925743573	0.8182236539
274	0.3923584537	0.8185304495
275	0.3923038819	0.8182236539
276	0.3920155562	0.8185304495
277	0.3919088552	0.8186838472
278	0.3918877704	0.8189906427
279	0.3916883503	0.8189906427
280	0.391632977	0.8189906427
281	0.3914635014	0.8192974383
282	0.3913385551	0.8189906427
283	0.3912814082	0.8191440405
284	0.391281177	0.8191440405
285	0.3911607537	0.8192974383
286	0.3910441421	0.8191440405
287	0.3910081066	0.8191440405
288	0.3908374342	0.819450836
289	0.3907996797	0.8196042338
290	0.3907234739	0.8196042338
291	0.3903575897	0.8197576315
292	0.3902246157	0.8199110293
293	0.3901819243	0.8199110293
294	0.3900284414	0.8197576315
295	0.3899841291	0.8197576315
296	0.3898004762	0.8199110293
297	0.3897022637	0.8199110293
298	0.3896472126	0.8199110293
299	0.3895321137	0.8200644271
300	0.3894624412	0.8202178248
301	0.3893602944	0.8205246203
302	0.3892129812	0.8203712226
303	0.3891212624	0.8203712226
304	0.3890104823	0.8208314159
305	0.3889679922	0.8209848136
306	0.3889149259	0.8211382114
307	0.3888483437	0.8211382114
308	0.3887513963	0.8211382114
309	0.3886278741	0.8209848136
310	0.3885907975	0.8209848136
311	0.3884680065	0.8211382114
312	0.3882884626	0.8212916091
313	0.3882238091	0.8212916091
314	0.3880941701	0.8214450069
315	0.3880328822	0.8212916091
316	0.3878008806	0.8215984047
317	0.387704677	0.8219052002
318	0.3877029	0.8219052002
319	0.3875907808	0.8217518024
320	0.3875223289	0.8217518024
321	0.3872187491	0.8220585979
322	0.3870714001	0.8220585979
323	0.3869170925	0.8220585979
324	0.3867729593	0.8222119957
325	0.3866056564	0.8222119957
326	0.3865187521	0.8223653935
327	0.3864311013	0.8225187912
328	0.3862405157	0.8222119957
329	0.3860969111	0.8222119957
330	0.3859814289	0.8220585979
331	0.3859259353	0.8220585979
332	0.3857072393	0.8225187912
333	0.3856029766	0.8225187912
334	0.3855090737	0.8228255867
335	0.3855041075	0.8228255867
336	0.3854253295	0.822672189
337	0.3853287386	0.822672189
338	0.3851837676	0.8228255867
339	0.3851299731	0.8229789845
340	0.3848887342	0.82328578
341	0.3846915499	0.82328578
342	0.3845478308	0.8231323823
343	0.3844854906	0.8231323823
344	0.3843152034	0.8231323823
345	0.3842543739	0.8231323823
346	0.3842086742	0.8229789845
347	0.3841805372	0.82328578
348	0.3841342888	0.82328578
349	0.3841078289	0.8231323823
350	0.3840952059	0.8231323823
351	0.3839777858	0.8234391778
352	0.3838424146	0.82328578
353	0.3837022167	0.8234391778
354	0.3835503488	0.8235925755
355	0.3834213116	0.8235925755
356	0.3832791597	0.8235925755
357	0.3831465452	0.82328578
358	0.3829946723	0.82328578
