iter	Logloss	Accuracy
879	0.3335379577	0.8539653321
880	0.3335140785	0.8539653321
881	0.3335087898	0.8539653321
882	0.3335059584	0.8539653321
883	0.3335021298	0.8539653321
884	0.3334425965	0.8539653321
885	0.3334100954	0.8539653321
886	0.3333285202	0.8541187299
887	0.3332198791	0.8539653321
888	0.3332022907	0.8539653321
889	0.3331613834	0.8538119343
890	0.3330777528	0.8538119343
891	0.3330329679	0.8541187299
892	0.333011263	0.8541187299
893	0.3329088608	0.8545789231
894	0.3328591578	0.8544255254
895	0.3328030042	0.8544255254
896	0.3327170815	0.8542721276
897	0.3326573755	0.8545789231
898	0.3325956343	0.8547323209
899	0.332485742	0.8542721276
900	0.3324392072	0.8542721276
901	0.3323954384	0.8542721276
902	0.3323002247	0.8542721276
903	0.3322189928	0.8542721276
904	0.3321906289	0.8545789231
905	0.3321307299	0.8551925142
906	0.3320445344	0.8550391164
907	0.3319517133	0.8544255254
908	0.3318837885	0.8547323209
909	0.3318347594	0.8547323209
910	0.3317947285	0.8548857187
911	0.3317338928	0.8550391164
912	0.3316344758	0.8554993097
913	0.3316044906	0.8553459119
914	0.3315917335	0.8554993097
915	0.3315431146	0.8554993097
916	0.3314770283	0.8553459119
917	0.3313280425	0.8556527075
918	0.3312680319	0.8554993097
919	0.331152682	0.8554993097
920	0.3311117425	0.8553459119
921	0.3309720572	0.8551925142
922	0.3308710653	0.8551925142
923	0.3307331847	0.8551925142
924	0.3306594057	0.8553459119
925	0.3304719612	0.8554993097
926	0.3304151799	0.8553459119
927	0.3303479707	0.8554993097
928	0.3302699873	0.8558061052
929	0.3301502189	0.8558061052
930	0.3301104109	0.8558061052
931	0.3301068618	0.8558061052
932	0.3300877877	0.8556527075
933	0.3300518462	0.8556527075
934	0.3299937768	0.8558061052
935	0.3299576314	0.8558061052
936	0.3298312196	0.8553459119
937	0.3297855665	0.8551925142
938	0.3297375244	0.8551925142
939	0.3296458041	0.8553459119
940	0.3296220575	0.8553459119
941	0.3295085006	0.8554993097
942	0.3293597657	0.8554993097
943	0.3292884488	0.8556527075
944	0.3292812583	0.8556527075
945	0.3291924419	0.8556527075
946	0.32910188	0.8556527075
947	0.3290057447	0.8556527075
948	0.3289481232	0.855959503
949	0.328833275	0.8561129008
950	0.32872651	0.8562662985
951	0.3286801385	0.8564196963
952	0.3286374975	0.8562662985
953	0.3285004814	0.855959503
954	0.3283708751	0.8564196963
955	0.3282914041	0.8561129008
956	0.3282162688	0.8561129008
957	0.3280746426	0.8561129008
958	0.3280668576	0.855959503
959	0.3280186978	0.855959503
960	0.3279817814	0.8561129008
961	0.3278832162	0.8561129008
962	0.3278606354	0.8561129008
963	0.3277703815	0.8564196963
964	0.3277268845	0.8564196963
965	0.3276531362	0.8564196963
966	0.3275900681	0.8561129008
967	0.327527495	0.8564196963
968	0.3273833039	0.8564196963
969	0.3273171297	0.8562662985
970	0.3272820991	0.856573094
971	0.3272176369	0.856573094
972	0.327193975	0.856573094
973	0.3271355953	0.8564196963
974	0.3270463943	0.8567264918
975	0.3269841365	0.8567264918
976	0.3269421364	0.8570332873
977	0.3269274036	0.8568798896
978	0.3268792298	0.856573094
979	0.3267892246	0.8567264918
980	0.326714428	0.856573094
981	0.3266552445	0.856573094
982	0.3265641684	0.856573094
983	0.326495538	0.8567264918
984	0.3263733633	0.8568798896
985	0.326317161	0.8570332873
986	0.3263062185	0.8571866851
987	0.3262507289	0.8571866851
988	0.3260887666	0.8573400828
989	0.3259964992	0.8576468784
990	0.3259519219	0.8576468784
991	0.3257835441	0.8574934806
992	0.3257274736	0.8574934806
993	0.3256697727	0.8576468784
994	0.325639841	0.8576468784
995	0.3256372574	0.8576468784
996	0.3256005403	0.8576468784
997	0.3254483796	0.8579536739
998	0.3253115642	0.8579536739
999	0.3252591999	0.8579536739
